행정동코드,자치구,행정동,성별,연령대,총인구수,1인가구수,집 추정 위치 평일 총 체류시간 미추정 인구수,집 추정 위치 평일 총 체류시간,"집 추정 위치 평일 총 체류시간: 4분위수, 25%","집 추정 위치 평일 총 체류시간: 4분위수, 50%","집 추정 위치 평일 총 체류시간: 4분위수, 75%",집 추정 위치 휴일 총 체류시간 미추정 인구수,집 추정 위치 휴일 총 체류시간,"집 추정 위치 휴일 총 체류시간: 4분위수, 25%","집 추정 위치 휴일 총 체류시간: 4분위수, 50%","집 추정 위치 휴일 총 체류시간: 4분위수, 75%",배달 서비스 사용 미추정 인구수,배달 서비스 사용일수,"배달 서비스 사용일수: 4분위수, 25%","배달 서비스 사용일수: 4분위수, 50%","배달 서비스 사용일수: 4분위수, 75%",배달_브랜드 서비스 사용 미추정 인구수,배달_브랜드 서비스 사용일수,"배달_브랜드 서비스 사용일수: 4분위수, 25%","배달_브랜드 서비스 사용일수: 4분위수, 50%","배달_브랜드 서비스 사용일수: 4분위수, 75%",배달_식재료 서비스 사용 미추정 인구수,배달_식재료 서비스 사용일수,"배달_식재료 서비스 사용일수: 4분위수, 25%","배달_식재료 서비스 사용일수: 4분위수, 50%","배달_식재료 서비스 사용일수: 4분위수, 75%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101054,종로구,삼청동,1,65,77,18.12,2.57,731048.28,529433.33,791166.67,933766.67,2.57,227248.28,147466.67,218266.67,305233.33,69.3,3.33,1.67,3.33,5,77,0,0,0,0,77,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101054,종로구,삼청동,1,70,61.02,15.67,0,895316.67,780666.67,985000,1081133.33,0,292725.76,198300,320133.33,378633.33,61.02,0,0,0,0,61.02,0,0,0,0,61.02,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101054,종로구,삼청동,1,75,83.21,28.23,0,993306.67,945266.67,1015000,1065033.33,0,350291.11,305800,322033.33,400333.33,80.43,3.33,3.33,3.33,3.33,83.21,0,0,0,0,83.21,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101054,종로구,삼청동,2,20,60,28.69,0,747125,504400,715766.67,985633.33,0,241037.5,170333.33,235566.67,273000,30,11.25,3.33,6.67,13.33,60,0,0,0,0,60,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101054,종로구,삼청동,2,25,92,46.51,0,706947.37,503966.67,718233.33,861566.67,0,242087.72,171666.67,196966.67,352266.67,29.05,17.56,6.67,11.67,36.67,87.16,1.67,1.67,1.67,1.67,87.16,1.67,1.67,1.67,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101054,종로구,삼청동,2,30,93,42.1,0,665991.23,453033.33,578066.67,936500,0,220408.77,132133.33,242866.67,287566.67,14.68,12.81,1.67,8.33,23.33,78.32,3.89,1.67,5,5,93,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101054,종로구,삼청동,2,35,112,44.42,5.09,734355.56,541000,626633.33,1003833.33,5.09,221158.73,160100,199433.33,300266.67,25.45,13.73,5,8.33,20,91.64,2.92,1.67,1.67,3.33,112,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101054,종로구,삼청동,2,40,97,28.18,0,679327.62,556200,673866.67,793133.33,0,204678.1,132633.33,193766.67,265466.67,27.71,13.13,5,10,15,88.69,1.67,1.67,1.67,1.67,97,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101054,종로구,삼청동,2,45,116,35.02,0,758604.76,582666.67,792533.33,934466.67,0,216546.43,171700,210533.33,265600,62.14,12.82,5,8.33,20,107.71,1.67,1.67,1.67,1.67,116,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101054,종로구,삼청동,2,50,132,32.68,0,734232.22,530533.33,675366.67,970166.67,0,217936.67,122833.33,220366.67,300533.33,92.4,8.7,5,6.67,11.67,123.2,3.33,1.67,1.67,5,127.6,1.67,1.67,1.67,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
